UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
319479870,591624,2026-01-06 00:35:32,2026-01-06 00:47:52,Borowska / Kamienna (Aquapark),Plac Kościuszki (Renoma),12
319479921,592090,2026-01-06 00:40:04,2026-01-06 00:59:33,Drobnera / Plac Bema,Wróblewskiego (Teki),19
319479964,591869,2026-01-06 00:44:57,2026-01-06 01:03:33,Powstańców Śląskich/Orla,Świdnicka / Piłsudskiego (Hotel Scandic),19
319480029,590755,2026-01-06 00:52:23,2026-01-06 01:24:02,"Paprotna / Obornicka, zajezdnia MPK",Szczęśliwa (Sky Tower),32
319480098,590255,2026-01-06 00:58:32,2026-01-06 01:02:47,Pereca / Grabiszyńska,Zaporoska / Grabiszyńska,4
319480131,590013,2026-01-06 01:03:13,2026-01-06 01:19:35,Olszewskiego / Spółdzielcza,Plac Świętego Macieja / Trzebnicka,16
319480132,591028,2026-01-06 01:03:15,2026-01-06 01:15:30,Zaporoska / Grabiszyńska,Pereca / Grabiszyńska,12
319480338,592937,2026-01-06 01:25:24,2026-01-06 01:37:41,Plac Uniwersytecki (UWr),Sienkiewicza / Piastowska,12
319480360,592473,2026-01-06 01:28:24,2026-01-06 01:33:25,Dyrekcyjna / Borowska (Wroclavia),Poza stacją,5
319480408,592754,2026-01-06 01:33:37,2026-01-06 01:35:15,Ślężna / Kamienna (Uniw. Ekonomiczny),Poza stacją,2
319480528,590069,2026-01-06 01:49:48,2026-01-06 01:57:09,"Dworzec Główny, południe",Hubska / Prudnicka,7
319480621,590482,2026-01-06 02:04:20,2026-01-06 02:14:07,Plac Świętego Macieja / Trzebnicka,Jedności Narodowej / Wyszyńskiego,10
319480622,590013,2026-01-06 02:04:35,2026-01-06 02:14:39,Plac Świętego Macieja / Trzebnicka,Jedności Narodowej / Wyszyńskiego,10
319480649,591081,2026-01-06 02:12:02,2026-01-06 02:17:52,Strzegomska / Estońska,Poza stacją,6
319480737,590026,2026-01-06 02:31:26,2026-01-06 02:40:21,Mińska / Stanisławowska,Smolec,9
319480822,592013,2026-01-06 02:59:11,2026-01-06 03:06:00,Żmigrodzka / Marino,Poza stacją,7
319480826,590334,2026-01-06 02:59:47,2026-01-06 03:05:49,Żmigrodzka / Marino,Bezpieczna / Obornicka,6
319480844,590543,2026-01-06 03:05:57,2026-01-06 03:20:58,Żmigrodzka / Marino,Akademia Wojsk Lądowych,15
319480933,591507,2026-01-06 03:32:07,2026-01-06 03:32:23,Kamieńskiego,Kamieńskiego,0
319480938,590499,2026-01-06 03:32:33,2026-01-06 03:43:13,Kamieńskiego,"Paprotna / Obornicka, zajezdnia MPK",11
319481002,590347,2026-01-06 03:53:13,2026-01-06 03:58:25,Berenta / Kasprowicza,Akademia Wojsk Lądowych,5
319481007,592689,2026-01-06 03:54:30,2026-01-06 04:06:54,Kopycińskiego/Drabika,Gazowa / Międzyleska,12
319481019,590610,2026-01-06 03:56:55,2026-01-06 04:03:10,Poza stacją,Robotnicza / Fabryczna,6
319481023,591747,2026-01-06 03:57:54,2026-01-06 04:03:19,Poza stacją,Robotnicza / Fabryczna,5
319481031,591994,2026-01-06 03:59:42,2026-01-06 04:14:51,Jagodzińska / Buforowa,al. Armii Krajowej / Bardzka,15
319481067,590633,2026-01-06 04:09:54,2026-01-06 04:18:45,Oporów (pętla tramwajowa),Hallera / Odkrywców,9
319481092,591714,2026-01-06 04:19:07,2026-01-06 04:33:54,Kutrzeby / Hubala,Powstańców Śląskich/Orla,15
319481093,590568,2026-01-06 04:19:27,2026-01-06 04:33:01,al. Karkonoska / Jeździecka,Centrum Handlowe Auchan Bielany,14
319481108,591981,2026-01-06 04:22:10,2026-01-06 04:29:48,Na Ostatnim Groszu,Poza stacją,8
319481109,590633,2026-01-06 04:22:13,2026-01-06 04:36:49,Hallera / Odkrywców,Powstańcow Śląskich / Aleja Hallera,15
319481142,590568,2026-01-06 04:34:14,2026-01-06 04:40:31,Centrum Handlowe Auchan Bielany,Aleja Bielany,6
319481201,592177,2026-01-06 04:54:01,2026-01-06 04:55:13,Hallera / Odkrywców,Hallera / Odkrywców,1
319481202,590794,2026-01-06 04:55:34,2026-01-06 05:08:06,Hallera / Odkrywców,Powstańcow Śląskich / Aleja Hallera,13
319481204,590596,2026-01-06 04:56:05,2026-01-06 05:01:50,Księgarska / Dekarska / Zduńska,Waniliowa / Cynamonowa,6
319481214,590703,2026-01-06 04:59:05,2026-01-06 05:04:54,Legnicka / Zachodnia ,Legnicka / Młodych Techników,6
319481246,592264,2026-01-06 05:06:36,2026-01-06 05:11:00,Ślężna / Kamienna (Uniw. Ekonomiczny),"Dworzec Główny, południe",4
319481251,591822,2026-01-06 05:07:13,2026-01-06 05:15:01,Zwycięska / Agrestowa,al. Karkonoska / Jeździecka,8
319481309,592099,2026-01-06 05:18:47,2026-01-06 05:29:16,Ślężna / Aleja Wiśniowa,al. Armii Krajowej / Bardzka,10
319481334,591684,2026-01-06 05:23:13,2026-01-06 05:36:51,Zatorska / Królewska - pętla MPK,Krzywoustego - Rynek Psie Pole,14
319481374,591214,2026-01-06 05:31:26,2026-01-06 06:05:46,Marca Polo (Olimpia Port),al. Poprzeczna / stacja kolejowa,34
319481435,590018,2026-01-06 05:37:00,2026-01-06 05:37:22,Krzywoustego - Rynek Psie Pole,Krzywoustego - Rynek Psie Pole,0
319481463,591684,2026-01-06 05:39:02,2026-01-06 05:58:16,Krzywoustego - Rynek Psie Pole,3M,19
319481514,590163,2026-01-06 05:45:30,2026-01-06 06:03:45,Kutrzeby / Hubala,Przyjaźni / Karkonoska,18
319481609,591028,2026-01-06 05:54:57,2026-01-06 06:06:49,Pereca / Grabiszyńska,Pereca / Grabiszyńska,12
319481615,591835,2026-01-06 05:55:38,2026-01-06 05:58:34,Na Grobli (PWr - Geocentrum),Traugutta / Pułaskiego,3
319481680,592840,2026-01-06 06:02:35,2026-01-06 06:54:11,Plac Uniwersytecki (UWr),Centrum Handlowe Auchan Bielany,52
319481737,590141,2026-01-06 06:07:29,2026-01-06 06:18:32,Strzegomska / Estońska,Klecińska (Wrocław Grabiszyn),11
319481800,591305,2026-01-06 06:14:57,2026-01-06 06:25:51,Borowska / Kamienna (Aquapark),Borowska (Uniw. Szpital Kliniczny),11
319482330,591561,2026-01-06 06:52:33,2026-01-06 06:58:03,Plac Dominikański (Galeria Dominikańska),Kościuszki / Pułaskiego,6
319482334,590035,2026-01-06 06:52:43,2026-01-06 06:56:02,Legnicka / Zachodnia ,Legnicka / Młodych Techników,3
319482545,592799,2026-01-06 07:04:08,2026-01-06 07:04:36,Sienkiewicza / Piastowska,Sienkiewicza / Piastowska,0
319482560,590238,2026-01-06 07:04:48,2026-01-06 07:18:35,Sienkiewicza / Piastowska,Rakowiecka,14
319482672,592189,2026-01-06 07:11:11,2026-01-06 07:26:21,Gajowicka,Komandorska / Sanocka,15
319483005,592189,2026-01-06 07:27:06,2026-01-06 07:36:31,Komandorska / Sanocka,Kościuszki / Komuny Paryskiej / Zgodna,9
319483150,590304,2026-01-06 07:32:24,2026-01-06 07:44:42,Poza stacją,Przyjaźni / Karkonoska,12
319483169,590562,2026-01-06 07:32:51,2026-01-06 07:35:35,Krzywoustego - Rynek Psie Pole,al. Jana III Sobieskiego / stacja kolejowa,3
319483440,591631,2026-01-06 07:40:48,2026-01-06 07:44:59,Legnicka (Park Magnolia),Stacyjna (Dworzec Mikołajów),4
319483777,590370,2026-01-06 07:50:18,2026-01-06 07:58:53,Poza stacją,Stabłowicka / Główna ,9
319483868,591047,2026-01-06 07:52:23,2026-01-06 07:53:31,al. Armii Krajowej / Borowska,al. Armii Krajowej / Borowska,1
319483927,590876,2026-01-06 07:53:59,2026-01-06 08:04:17,al. Armii Krajowej / Borowska,Dworzec Główny ,10
319483947,591652,2026-01-06 07:54:39,2026-01-06 07:57:21,Piaskowa / św. Ducha,Plac Dominikański (Galeria Dominikańska),3
319484014,592920,2026-01-06 07:56:46,2026-01-06 08:06:35,Żelazna / Pereca,Plac Jana Pawła II (Akademia Muzyczna),10
319484131,590370,2026-01-06 07:59:55,2026-01-06 08:18:22,Stabłowicka / Główna ,Pilczycka / Koszykarska,18
319484336,592837,2026-01-06 08:05:53,2026-01-06 08:13:40,Zaporoska / Grabiszyńska,Dworzec Główny ,8
319484489,592452,2026-01-06 08:10:46,2026-01-06 08:22:23,Reymonta / Kleczkowska,Kazimierza Wielkiego (Helios),12
319484506,592566,2026-01-06 08:11:25,2026-01-06 08:18:09,Plac Dominikański (Galeria Dominikańska),Rondo Reagana,7
319484522,590703,2026-01-06 08:11:40,2026-01-06 08:18:10,Legnicka / Młodych Techników,Legnicka / Zachodnia ,7
319484574,590536,2026-01-06 08:13:13,2026-01-06 08:19:06,Opolska / pętla tramwajowa,Opolska / Siemianowicka,6
319484801,590370,2026-01-06 08:19:44,2026-01-06 08:36:40,Pilczycka / Koszykarska,Plac Strzegomski / Poznańska,17
319484991,590734,2026-01-06 08:24:45,2026-01-06 08:38:00,Grabiszyńska / Stalowa,Ślężna / Aleja Wiśniowa,13
319485296,591274,2026-01-06 08:33:04,2026-01-06 08:44:54,Pomorska/Cybulskiego,Sienkiewicza / Wyszyńskiego,12
319485359,590880,2026-01-06 08:34:29,2026-01-06 08:42:02,Dworzec Główny ,Piaskowa / św. Ducha,8
319485490,590370,2026-01-06 08:37:55,2026-01-06 08:45:50,Plac Strzegomski / Poznańska,Plac Legionów,8
319485522,590734,2026-01-06 08:38:35,2026-01-06 08:53:27,Ślężna / Aleja Wiśniowa,Świeradowska (Ferio Gaj ),15
319485571,590094,2026-01-06 08:39:43,2026-01-06 08:53:18,Wróblewskiego (Teki),Dworzec Główny ,14
319485877,591274,2026-01-06 08:46:36,2026-01-06 09:00:00,Sienkiewicza / Wyszyńskiego,al. Kochanowskiego / Śniadeckich ,13
319485934,590578,2026-01-06 08:47:52,2026-01-06 08:49:21,Poza stacją,Poza stacją,1
319485948,592010,2026-01-06 08:48:13,2026-01-06 08:48:44,Grabiszyńska / Stalowa,Poza stacją,1
319485963,591243,2026-01-06 08:48:27,2026-01-06 08:52:39,Zaporoska / Wielka / Krucza,Szczęśliwa (Sky Tower),4
319485990,592905,2026-01-06 08:48:59,2026-01-06 08:54:57,Grabiszyńska / Stalowa,Zaporoska / Grabiszyńska,6
319486121,592269,2026-01-06 08:52:00,2026-01-06 08:58:28,Poza stacją,"Dworzec Główny, południe",6
319486158,591671,2026-01-06 08:52:48,2026-01-06 09:01:41,Szczęśliwa (Sky Tower),"Dworzec Główny, południe",9
319486517,590921,2026-01-06 09:01:37,2026-01-06 09:18:57,Skarbowców / Wietrzna,Szczęśliwa (Sky Tower),17
319486668,592511,2026-01-06 09:05:53,2026-01-06 09:08:33,Żeromskiego / Daszyńskiego,Nowowiejska / Jedności Narodowej,3
319486773,591204,2026-01-06 09:08:43,2026-01-06 09:14:13,Nowowiejska / Jedności Narodowej,pl. Powstańców Wielkopolskich,6
319487136,591794,2026-01-06 09:19:24,2026-01-06 09:27:22,Nowowiejska / Jedności Narodowej,Piaskowa / św. Ducha,8
319487397,590090,2026-01-06 09:27:12,2026-01-06 09:30:27,Kamieńskiego / Jutrosińska,Kamieńskiego,3
319487522,590690,2026-01-06 09:30:45,2026-01-06 09:39:40,Rogowska / Zemska,Na Ostatnim Groszu,9
319487839,592674,2026-01-06 09:39:38,2026-01-06 09:45:10,Szczęśliwa (Sky Tower),Ślężna / Kamienna (Uniw. Ekonomiczny),6
319487863,590963,2026-01-06 09:40:22,2026-01-06 09:47:19,Gorlicka / Litewska,al. Jana III Sobieskiego / stacja kolejowa,7
319487970,591139,2026-01-06 09:43:02,2026-01-06 09:52:27,Drobnera / Plac Bema,Dworzec Główny ,9
319488105,590886,2026-01-06 09:46:23,2026-01-06 10:03:42,Ślężna / Kamienna (Uniw. Ekonomiczny),Grota-Roweckiego / Parafialna,17
319488113,590397,2026-01-06 09:46:37,2026-01-06 09:51:25,Hubska / Prudnicka,"Dworzec Główny, południe",5
319488373,591202,2026-01-06 09:53:57,2026-01-06 09:54:13,Bardzka / Piękna,Bardzka / Piękna,0
319488402,590579,2026-01-06 09:54:38,2026-01-06 10:00:06,Bardzka / Piękna,Borowska / Kamienna (Aquapark),5
319488607,592211,2026-01-06 10:00:45,2026-01-06 10:08:10,Piękna,Krakowska / Leroy Merlin,7
319488624,591822,2026-01-06 10:01:09,2026-01-06 10:10:12,al. Karkonoska / Jeździecka,Przyjaźni / Karkonoska,9
319488669,592254,2026-01-06 10:03:23,2026-01-06 10:15:01,Kościuszki / Komuny Paryskiej / Zgodna,Szczęśliwa (Sky Tower),12
319488863,591863,2026-01-06 10:09:59,2026-01-06 10:15:11,Hubska / Prudnicka,Nyska / Piękna,5
319488956,591811,2026-01-06 10:13:02,2026-01-06 10:16:27,Poniatowskiego / Oleśnicka,Plac Świętego Macieja / Trzebnicka,3
319489108,590734,2026-01-06 10:18:09,2026-01-06 10:27:38,Świeradowska (Ferio Gaj ),Poza stacją,9
319489188,591062,2026-01-06 10:20:48,2026-01-06 10:59:40,Wysoka/Nastrojowa,"Dworzec Główny, południe",39
319489217,590590,2026-01-06 10:21:56,2026-01-06 10:27:36,Kazimierza Wielkiego (Helios),Plac Legionów,6
319489235,591777,2026-01-06 10:22:32,2026-01-06 10:38:27,Zachodnia / Poznańska,Lotnicza / Metalowców,16
319489363,591239,2026-01-06 10:27:32,2026-01-06 10:33:34,Żelazna / Pereca,Plac Powstańców Śląskich,6
319489419,590590,2026-01-06 10:29:40,2026-01-06 10:35:53,Plac Legionów,Pereca / Grabiszyńska,6
319489537,592905,2026-01-06 10:33:40,2026-01-06 12:09:42,Zaporoska / Grabiszyńska,Zaporoska / Grabiszyńska,96
319489657,590590,2026-01-06 10:38:13,2026-01-06 10:42:04,Pereca / Grabiszyńska,Grabiszyńska / Stalowa,4
319489679,591777,2026-01-06 10:39:11,2026-01-06 10:53:15,Lotnicza / Metalowców,Żernicka,14
319489747,591463,2026-01-06 10:41:22,2026-01-06 10:52:30,Plac Uniwersytecki (UWr),Żmigrodzka / Broniewskiego,11
319489921,592010,2026-01-06 10:47:12,2026-01-06 10:47:41,Grabiszyńska / Stalowa,Grabiszyńska / Stalowa,0
319489947,590590,2026-01-06 10:47:52,2026-01-06 10:52:27,Grabiszyńska / Stalowa,Grabiszyńska / Magazynierska (Corte Verona),5
319490352,590785,2026-01-06 10:59:41,2026-01-06 11:05:08,Nowowiejska / Jedności Narodowej,Plac Świętego Macieja / Trzebnicka,5
319490578,590475,2026-01-06 11:07:28,2026-01-06 11:12:23,Prochowicka / Dolnobrzeska,"Wrocław Leśnica, stacja kolejowa",5
319490848,592233,2026-01-06 11:16:05,2026-01-06 11:28:50,Legnicka (Park Magnolia),Bajana / Szybowcowa,13
319490857,591002,2026-01-06 11:16:28,2026-01-06 11:28:57,Legnicka (Park Magnolia),Bajana / Szybowcowa,12
319490892,591223,2026-01-06 11:17:37,2026-01-06 11:18:09,Wyszyńskiego / Szczytnicka,Wyszyńskiego / Szczytnicka,1
319490992,590973,2026-01-06 11:20:55,2026-01-06 11:25:51,Poza stacją,Świdnicka / Piłsudskiego (Hotel Scandic),5
319491025,592479,2026-01-06 11:22:01,2026-01-06 11:28:42,Szczęśliwa (Sky Tower),Powstańcow Śląskich / Aleja Hallera,7
319491078,590482,2026-01-06 11:23:23,2026-01-06 11:26:58,Jedności Narodowej / Wyszyńskiego,Nowowiejska / Wyszyńskiego,4
319491095,591081,2026-01-06 11:23:45,2026-01-06 11:30:45,Graniczna / Strzegomska,Tyrmanda / Trawowa,7
319491114,592114,2026-01-06 11:24:39,2026-01-06 11:38:43,Grochowa / Jemiołowa,Rynek,14
319491172,592739,2026-01-06 11:26:42,2026-01-06 11:37:38,al. Armii Krajowej / Borowska,Gajowicka,11
319491306,592584,2026-01-06 11:30:37,2026-01-06 11:33:33,Grochowa / Jemiołowa,Zaporoska / Wielka / Krucza,3
319491340,592112,2026-01-06 11:31:33,2026-01-06 11:37:15,Dworzec Główny ,Kościuszki / Pułaskiego,6
319491352,592479,2026-01-06 11:31:59,2026-01-06 11:43:50,Powstańcow Śląskich / Aleja Hallera,Skarbowców / Wietrzna,12
319491610,590806,2026-01-06 11:39:44,2026-01-06 11:58:53,Partyzantów / Okrzei,Sienkiewicza / Wyszyńskiego,19
319491637,591348,2026-01-06 11:40:18,2026-01-06 11:54:38,Tarnogajska / Klimasa,"Dworzec Główny, południe",14
319491740,590097,2026-01-06 11:43:27,2026-01-06 11:55:05,Kamienna / Tomaszowska,Aleja Hallera / Mielecka,12
319491886,591811,2026-01-06 11:46:51,2026-01-06 11:58:32,Plac Świętego Macieja / Trzebnicka,Reymonta / Kleczkowska,12
319492027,592754,2026-01-06 11:50:47,2026-01-06 11:55:59,Komandorska / Kamienna,Dyrekcyjna / Borowska (Wroclavia),5
319492089,591651,2026-01-06 11:52:26,2026-01-06 12:04:17,Kołłątaja / Podwale,Pereca / Grabiszyńska,12
319492209,591243,2026-01-06 11:55:29,2026-01-06 12:13:30,Szczęśliwa (Sky Tower),Nyska / Piękna,18
319492247,590425,2026-01-06 11:56:26,2026-01-06 11:59:39,Ułańska,Zwycięska / Agrestowa,3
319492307,591047,2026-01-06 11:58:12,2026-01-06 12:04:01,al. Armii Krajowej / Borowska,Ślężna / Aleja Wiśniowa,6
319492355,590810,2026-01-06 11:59:44,2026-01-06 12:06:30,Ślężna / Kamienna (Uniw. Ekonomiczny),Dyrekcyjna / Borowska (Wroclavia),7
319492372,592473,2026-01-06 12:00:03,2026-01-06 12:07:55,Ślężna / Kamienna (Uniw. Ekonomiczny),Dyrekcyjna / Borowska (Wroclavia),8
319492410,592739,2026-01-06 12:01:05,2026-01-06 12:05:21,Gajowicka,Aleja Hallera / Mielecka,4
319492532,592660,2026-01-06 12:04:18,2026-01-06 12:21:59,Ułańska,al. Armii Krajowej / Borowska,18
319492539,590126,2026-01-06 12:04:37,2026-01-06 12:25:45,Śrubowa / Strzegomska,"Dworzec Główny, południe",21
319492669,590578,2026-01-06 12:08:01,2026-01-06 12:13:15,Poza stacją,Kazimierza Wielkiego (Helios),5
319492684,591242,2026-01-06 12:08:29,2026-01-06 12:13:23,Plac Legionów,Kazimierza Wielkiego (Helios),5
319492886,591868,2026-01-06 12:13:31,2026-01-06 12:19:07,Poza stacją,Rondo Reagana,6
319492986,591243,2026-01-06 12:16:33,2026-01-06 12:18:00,Nyska / Piękna,Nyska / Piękna,1
319492996,591561,2026-01-06 12:16:50,2026-01-06 12:24:00,Kościuszki / Pułaskiego,Plac Legionów,7
319493043,590746,2026-01-06 12:18:11,2026-01-06 12:32:27,Traugutta / Kościuszki,Wróblewskiego (Teki),14
319493047,591079,2026-01-06 12:18:15,2026-01-06 12:27:06,Nyska / Piękna,"Dworzec Główny, południe",9
319493164,591255,2026-01-06 12:21:20,2026-01-06 12:27:55,Dworzec Główny ,Piaskowa / św. Ducha,7
319493360,591042,2026-01-06 12:25:26,2026-01-06 12:40:34,Grabiszyńska / Stalowa,Plac Jana Pawła II (Akademia Muzyczna),15
319493412,590397,2026-01-06 12:26:33,2026-01-06 12:28:04,"Dworzec Główny, południe","Dworzec Główny, południe",2
319493505,591348,2026-01-06 12:28:37,2026-01-06 12:46:27,"Dworzec Główny, południe",Tarnogajska / Klimasa,18
319493560,590765,2026-01-06 12:30:18,2026-01-06 12:36:48,Piękna,Krakowska / Leroy Merlin,7
319493562,592310,2026-01-06 12:30:20,2026-01-06 12:45:05,Śrubowa / Strzegomska,Legnicka / Zachodnia ,15
319493619,590769,2026-01-06 12:32:01,2026-01-06 12:42:17,Poniatowskiego / Oleśnicka,Aleja Kromera,10
319493681,590399,2026-01-06 12:33:30,2026-01-06 12:51:08,Nyska / Piękna,Szczęśliwa (Sky Tower),18
319493809,592010,2026-01-06 12:36:48,2026-01-06 12:37:14,Grabiszyńska / Stalowa,Grabiszyńska / Stalowa,0
319493810,590516,2026-01-06 12:36:49,2026-01-06 12:39:26,Powstańców Śląskich/Orla,Krzycka / Aleja Karkonoska (Park Południowy),3
319493872,592262,2026-01-06 12:38:43,2026-01-06 12:55:01,Aleja Hallera / Mielecka,Borowska / Kamienna (Aquapark),16
319493893,590177,2026-01-06 12:39:21,2026-01-06 12:41:38,Na Grobli (PWr - Geocentrum),Na Grobli (PWr - Geocentrum),2
319493944,590703,2026-01-06 12:40:39,2026-01-06 12:44:24,Legnicka / Zachodnia ,Legnicka (Park Magnolia),4
319493994,591212,2026-01-06 12:42:06,2026-01-06 12:43:06,Na Grobli (PWr - Geocentrum),Na Grobli (PWr - Geocentrum),1
319494015,591651,2026-01-06 12:42:40,2026-01-06 12:55:05,Pereca / Grabiszyńska,"Dworzec Główny, południe",12
319494177,591463,2026-01-06 12:46:17,2026-01-06 12:55:54,Żmigrodzka / Broniewskiego,"Paprotna / Obornicka, zajezdnia MPK",10
319494328,590653,2026-01-06 12:49:22,2026-01-06 12:53:12,Plac Grunwaldzki (DS Ołówek),Rondo Reagana,4
319494337,591212,2026-01-06 12:49:36,2026-01-06 13:31:49,Na Grobli (PWr - Geocentrum),Poza stacją,42
319494613,592723,2026-01-06 12:55:28,2026-01-06 13:33:32,Poleska / Litewska,Rondo Reagana,38
319494695,591822,2026-01-06 12:56:55,2026-01-06 13:04:18,Przyjaźni / Karkonoska,al. Karkonoska / Jeździecka,7
319494846,590397,2026-01-06 13:00:36,2026-01-06 13:12:09,"Dworzec Główny, południe",Nyska / Piękna,12
319494931,592673,2026-01-06 13:02:20,2026-01-06 13:14:00,Plac Dominikański (Galeria Dominikańska),Dworzec Główny ,12
319494935,592472,2026-01-06 13:02:26,2026-01-06 13:08:20,Komandorska / Kamienna,"Dworzec Główny, południe",6
319495009,592689,2026-01-06 13:03:54,2026-01-06 13:54:39,Gazowa / Międzyleska,Gazowa / Międzyleska,51
319495185,590119,2026-01-06 13:08:02,2026-01-06 13:14:03,Kościuszki / Komuny Paryskiej / Zgodna,Kołłątaja / Podwale,6
319495289,591164,2026-01-06 13:10:26,2026-01-06 13:14:30,Bardzka / Piękna,Piękna,4
319495309,592189,2026-01-06 13:10:54,2026-01-06 13:22:22,Kościuszki / Komuny Paryskiej / Zgodna,Świdnicka / Piłsudskiego (Hotel Scandic),11
319495443,592775,2026-01-06 13:14:12,2026-01-06 13:15:32,Otyńska / Traktatowa,Poza stacją,1
319495532,592287,2026-01-06 13:16:11,2026-01-06 13:35:44,Piękna,Olszewskiego / Spółdzielcza,20
319495603,591835,2026-01-06 13:17:59,2026-01-06 13:24:37,Traugutta / Pułaskiego,Wita Stwosza / Szewska,7
319495626,590006,2026-01-06 13:18:36,2026-01-06 13:22:01,Dworzec Główny ,Dworzec Główny ,3
319495643,591202,2026-01-06 13:19:10,2026-01-06 13:38:27,Bardzka / Piękna,Karwińska / Opolska,19
319495654,590286,2026-01-06 13:19:25,2026-01-06 13:37:22,Dworzec Główny ,Komandorska / Kamienna,18
319495706,592761,2026-01-06 13:20:43,2026-01-06 13:32:58,Szczęśliwa (Sky Tower),Kościuszki / Komuny Paryskiej / Zgodna,12
319495808,591028,2026-01-06 13:23:37,2026-01-06 13:36:38,Pereca / Grabiszyńska,Plac Powstańców Śląskich,13
319495822,592214,2026-01-06 13:23:55,2026-01-06 13:27:52,Plac Dominikański (Galeria Dominikańska),Szewska / Kazimierza Wielkiego ,4
319496019,590482,2026-01-06 13:28:13,2026-01-06 13:33:07,Nowowiejska / Wyszyńskiego,Jedności Narodowej / Wyszyńskiego,5
319496044,592584,2026-01-06 13:28:53,2026-01-06 13:33:55,Zaporoska / Wielka / Krucza,Krucza / Mielecka / Stalowa,5
319496131,592214,2026-01-06 13:31:09,2026-01-06 13:57:51,Szewska / Kazimierza Wielkiego ,Skarbowców / Wietrzna,27
319496145,590287,2026-01-06 13:31:28,2026-01-06 13:37:50,Plac Uniwersytecki (UWr),Rynek,6
319496252,592236,2026-01-06 13:33:58,2026-01-06 13:50:35,Zaporoska / Grabiszyńska,Drobnera / Plac Bema,17
319496318,591825,2026-01-06 13:35:37,2026-01-06 13:52:08,Zwycięska / Ołtaszyńska,Aleja Bielany,17
319496352,591288,2026-01-06 13:36:15,2026-01-06 13:37:26,Zwycięska / Ołtaszyńska,Zwycięska / Ołtaszyńska,1
319496364,592254,2026-01-06 13:36:22,2026-01-06 13:49:06,Szczęśliwa (Sky Tower),Kościuszki / Pułaskiego,13
319496371,591866,2026-01-06 13:36:36,2026-01-06 14:02:15,pl. Powstańców Wielkopolskich,Dworzec Główny ,26
319496413,590822,2026-01-06 13:37:46,2026-01-06 13:43:12,Zwycięska / Ołtaszyńska,Ułańska,5
319496490,592191,2026-01-06 13:39:20,2026-01-06 13:47:42,Świdnicka / Piłsudskiego (Hotel Scandic),Zaporoska / Grabiszyńska,8
319496607,592660,2026-01-06 13:42:04,2026-01-06 13:45:55,al. Armii Krajowej / Borowska,Borowska (Uniw. Szpital Kliniczny),4
319496608,592319,2026-01-06 13:42:05,2026-01-06 14:01:29,Lotnicza / Na Ostatnim Groszu,Legnicka / Młodych Techników,19
319496613,592305,2026-01-06 13:42:12,2026-01-06 13:50:36,Komandorska / Kamienna,al. Armii Krajowej / Borowska,8
319496649,591652,2026-01-06 13:43:22,2026-01-06 13:53:40,Plac Dominikański (Galeria Dominikańska),Dworzec Główny ,10
319496654,592673,2026-01-06 13:43:30,2026-01-06 14:03:30,Dworzec Główny ,Rynek,20
319496671,591532,2026-01-06 13:44:00,2026-01-06 13:55:30,Borowska / Kamienna (Aquapark),Plac Kościuszki (Renoma),12
